rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
177,-7,-1,4,planar,planar,28,-7.878807,1.569044,-1.601532,2.295477,0.682578,1.410431,0.242671,0.272901,0.358878,0.761130,2,0.660657,0.279054,0.362681,-8.113763
178,-6,-9,4,planar,planar,34,-9.911543,1.721258,-1.690562,2.866408,2.440494,2.142598,0.029839,0.666667,0.137047,1.173616,4,0.314503,0.553383,0.475080,-8.164164
179,-8,3,6,planar,planar,38,-8.681498,0.788965,-1.350289,1.813938,1.841182,1.023993,0.039537,0.333333,0.054760,0.820042,2,0.723092,0.227473,0.303654,-8.191586
180,2,-1,-3,planar,planar,697,-3.973402,0.541088,-1.639929,2.451386,0.592926,-1.350000,0.000176,0.346394,0.309789,0.647938,1,0.000000,0.000000,0.141860,-8.280704
181,4,-7,1,corner_like,corner_like,35,-19.000973,2.067748,0.849812,0.514112,5.253328,2.892038,0.538130,1.000000,0.050131,2.226475,3,0.485193,0.671566,0.783801,-8.452158
182,-4,-2,3,planar,planar,179,-9.718263,1.262482,-1.131171,1.687432,3.069592,-0.257868,0.299970,0.770115,0.179621,1.518753,1,0.535940,0.000000,0.493169,-8.462660
183,-9,-1,0,planar,planar,91,-4.236813,0.916550,-1.573727,2.242278,-1.062293,-0.285158,0.000113,0.037727,0.460518,0.174986,1,0.651908,0.000000,0.170416,-8.483719
184,-3,-9,4,planar,planar,26,-12.276407,1.753872,-1.282629,2.195961,3.945780,1.440672,0.204327,1.000000,0.115936,1.775841,2,0.416865,0.323870,0.464580,-8.614673
185,5,-3,-4,planar,planar,87,-3.628054,0.428710,-1.489718,2.244808,-0.378351,-1.350000,0.000294,0.252643,0.426949,0.411637,1,0.000000,0.000000,0.057499,-8.662222
186,-6,3,6,linear,linear,26,-12.210685,2.380010,-0.369871,1.785396,1.793990,1.502981,0.012301,0.333333,0.038494,0.783273,2,0.695830,0.300103,0.307773,-8.688971
187,10,18,7,planar,planar,22,-9.875016,1.582279,-1.415607,2.111315,2.508307,0.578385,0.028870,0.666667,0.111198,1.172307,2,0.382903,0.223611,0.183570,-8.732968
