rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
85,2,0,-3,planar,planar,464,1.821990,0.284089,-1.416327,2.245507,1.076897,-0.972209,0.000403,0.405859,0.270310,0.713656,1,0.000000,0.000000,0.162708,-1.451066
86,-3,7,-1,planar,planar,58,0.148805,-0.164814,-1.410353,2.333531,1.292286,0.990565,0.388603,0.173561,0.310014,0.848864,1,0.691315,0.000000,0.423687,-1.477043
87,3,6,7,linear,linear,17,-4.190121,1.432978,-0.365632,1.782907,1.960245,1.463691,0.019605,0.333333,0.039174,0.793134,2,0.499370,0.261891,0.208027,-1.481745
88,-8,-5,5,linear,linear,43,0.612153,-0.017439,-0.255931,1.795204,1.060000,-1.187556,0.000000,0.000000,0.000000,0.400000,1,0.000000,0.000000,0.008889,-1.583976
89,4,4,5,linear,linear,91,-4.545765,0.582728,-0.328835,1.777300,2.113319,2.367319,0.453480,0.020408,0.075227,0.901313,2,0.419507,0.359812,0.385278,-1.588535
90,16,-16,-7,planar,planar,25,1.629608,0.081200,-1.573086,2.575040,1.851521,-1.074421,0.009358,0.333333,0.067435,0.779300,1,0.000000,0.000000,0.089699,-1.660218
91,11,1,3,planar,planar,30,-1.884104,0.464845,-1.352339,2.114049,1.060000,2.137161,0.000000,0.000000,0.000000,0.400000,2,0.466825,0.366155,0.194919,-1.688486
92,9,-6,6,planar,planar,57,2.053790,0.245977,-1.545642,2.453751,-0.500305,0.492049,0.048283,0.109374,0.462168,0.318827,1,0.800655,0.000000,0.181608,-1.707882
93,-9,-20,2,linear,linear,16,0.132112,-0.064940,-0.312981,1.764810,1.060000,-0.762686,0.000000,0.000000,0.000000,0.400000,1,0.203026,0.000000,0.025876,-1.713305
94,2,8,3,planar,planar,156,0.205970,-0.413779,-1.582981,2.701090,2.609852,0.092059,0.011042,0.666667,0.137118,1.148240,1,0.413538,0.000000,0.278781,-1.789969
