vx,vy,vz,center_x,center_y,center_z,num_points,base_label,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty,occupied_face_count,occupied_face_ratio,opposite_face_pair_ratio,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_neighbor_count,junction_cluster_count,junction_entropy,junction_dominant_fraction,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score
-11,-18,1,-10.500000,-17.500000,1.500000,23,planar,planar,0.058087,0.048925,0.002680,0.157722,0.796135,0.046144,0.953856,0.019676,2.574317,14.097460,0.315824,-11.523142,0.787480,2.525496,1.773024,1.738016,4,0.666667,0.333333,0.061833,0.753623,0.412660,1.179126,16,1,0.353555,0.933282,0.260080,0.000000,0.199762
-11,-18,2,-10.500000,-17.500000,2.500000,29,planar,planar,0.081406,0.063088,0.003191,0.225023,0.735779,0.039198,0.960802,0.025400,2.639389,3.430616,0.368418,-0.791228,0.768868,0.843721,1.768868,0.074853,1,0.166667,0.000000,0.100220,0.333333,0.067183,0.901963,17,1,0.265857,0.954752,0.251446,0.000000,0.166486
-11,1,0,-10.500000,1.500000,0.500000,15,linear,linear,0.028593,0.001942,0.000000,0.932090,0.067910,0.000000,1.000000,0.000065,1.517859,147.217760,0.151115,-145.699901,0.344497,10.113145,1.039994,9.768648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,5,1,0.000000,1.000000,0.000000,0.000000,0.008889
-11,4,6,-10.500000,4.500000,6.500000,16,planar,planar,0.081929,0.033303,0.000513,0.593509,0.400225,0.006266,0.993734,0.011189,2.154390,22.912352,0.306392,-20.757963,0.365376,3.525747,1.304641,3.160371,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,1,1,0.000000,1.000000,0.000000,0.000000,0.009733
-10,-19,1,-9.500000,-18.500000,1.500000,20,planar,planar,0.078951,0.058640,0.003423,0.257265,0.699377,0.043358,0.956642,0.025119,2.607411,12.617210,0.358913,-10.009800,0.676610,2.209646,1.676610,1.533036,2,0.333333,0.000000,0.019990,0.666667,0.141834,1.160320,15,1,0.401277,0.882798,0.164773,0.000000,0.217206
-10,-19,2,-9.500000,-18.500000,2.500000,20,planar,planar,0.100166,0.034323,0.001404,0.657340,0.328645,0.014015,0.985985,0.016899,2.418510,15.038159,0.338045,-12.619649,0.527639,2.274626,1.469910,1.746987,1,0.166667,0.000000,0.009431,0.333333,0.050732,0.779398,14,1,0.303822,0.945838,0.214478,0.000000,0.108215
-10,-3,0,-9.500000,-2.500000,0.500000,21,linear,linear,0.100511,0.001602,0.000000,0.984064,0.015936,0.000000,1.000000,0.000127,1.529340,30.581276,0.269572,-29.051935,0.444651,4.472186,1.018393,4.027535,1,0.166667,0.000000,0.000258,0.333333,0.033024,0.767015,11,1,0.000000,1.000000,0.000000,0.000000,0.082721
-10,-1,0,-9.500000,-0.500000,0.500000,19,linear,linear,0.036909,0.002262,0.000000,0.938724,0.061276,0.000000,1.000000,0.000077,1.579295,61.349407,0.166975,-59.770111,0.423156,7.171352,1.038361,6.748195,1,0.166667,0.000000,0.015502,0.333333,0.035180,0.787594,12,1,0.000000,1.000000,0.000000,0.000000,0.090191
-10,1,6,-9.500000,1.500000,6.500000,22,linear,linear,0.046419,0.003162,0.000585,0.931889,0.055503,0.012607,0.987393,0.004412,2.011981,31.898586,0.187098,-29.886605,0.581841,5.897194,1.437024,5.315353,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,4,3,0.942581,0.504631,0.494794,0.650768,0.330559
-9,-20,2,-8.500000,-19.500000,2.500000,16,linear,linear,0.127660,0.013507,0.001497,0.894193,0.094077,0.011730,0.988270,0.013719,2.365208,2.233095,0.323328,0.132112,0.855442,0.790502,1.722043,-0.064940,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,10,1,0.373339,0.928001,0.203026,0.000000,0.025876
-9,-5,-1,-8.500000,-4.500000,-0.500000,17,linear,linear,0.063866,0.002923,0.000000,0.954226,0.045774,0.000000,1.000000,0.000041,1.627957,199.771617,0.211158,-198.143660,0.392744,8.243297,0.974618,7.850553,2,0.333333,0.000000,0.023984,0.666667,0.067952,1.165712,13,1,0.000000,1.000000,0.000000,0.000000,0.179454
-9,-4,-1,-8.500000,-3.500000,-0.500000,31,linear,linear,0.102919,0.003117,0.000000,0.969711,0.030289,0.000000,1.000000,0.000059,1.691129,212.462782,0.287007,-210.771653,0.347856,10.424256,1.095858,10.076401,2,0.333333,0.000000,0.000135,0.666667,0.067767,1.133515,14,1,0.000000,1.000000,0.000000,0.000000,0.183796
-9,-4,5,-8.500000,-3.500000,5.500000,19,planar,planar,0.035100,0.015803,0.004192,0.549779,0.330786,0.119434,0.880566,0.013248,2.577017,12.129551,0.218637,-9.552534,0.709787,2.791976,1.709787,2.082189,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,3,3,0.959644,0.457617,0.643763,0.686956,0.491160
-9,-3,0,-8.500000,-2.500000,0.500000,25,linear,linear,0.095608,0.002680,0.000000,0.971969,0.028031,0.000000,1.000000,0.000076,1.649195,122.030644,0.269595,-120.381449,0.451851,8.673401,1.059318,8.221551,2,0.333333,0.000000,0.000130,0.666667,0.067498,1.133508,16,1,0.000000,1.000000,0.000000,0.000000,0.196295
-9,-2,0,-8.500000,-1.500000,0.500000,15,linear,linear,0.016388,0.000780,0.000000,0.952413,0.047587,0.000000,1.000000,0.000013,1.288598,111.637813,0.111894,-110.349215,0.466856,7.572951,0.929366,7.106095,2,0.333333,0.333333,0.009877,0.024691,0.125723,0.307161,16,1,0.000000,1.000000,0.000000,0.000000,0.053036
-9,-1,0,-8.500000,-0.500000,0.500000,29,planar,planar,0.037559,0.017755,0.000257,0.527271,0.465894,0.006834,0.993166,0.005552,2.051727,47.733463,0.204192,-45.681736,0.443995,4.665623,1.129449,4.221628,3,0.500000,0.333333,0.017956,0.416667,0.271473,0.749241,17,1,0.000000,1.000000,0.000000,0.000000,0.124073
-9,0,0,-8.500000,0.500000,0.500000,25,linear,linear,0.135969,0.012843,0.000000,0.905542,0.094458,0.000000,1.000000,0.000184,1.843647,61.107515,0.366901,-59.263868,0.255020,5.079772,1.130330,4.824752,2,0.333333,0.333333,0.024223,0.075556,0.133811,0.382479,17,1,0.000000,1.000000,0.000000,0.000000,0.063750
-9,1,0,-8.500000,1.500000,0.500000,46,planar,planar,0.160219,0.047765,0.000094,0.701874,0.297540,0.000586,0.999414,0.008957,2.014365,13.463444,0.429207,-11.449078,0.338344,1.615545,1.211116,1.277201,3,0.500000,0.333333,0.014318,0.352201,0.227553,0.673418,17,1,0.000000,1.000000,0.000000,0.000000,0.113468
-9,2,0,-8.500000,2.500000,0.500000,28,linear,linear,0.055254,0.012249,0.000417,0.778308,0.214147,0.007545,0.992455,0.006559,2.122376,3.523665,0.227430,-1.401288,0.699472,1.138718,1.608697,0.439246,2,0.333333,0.000000,0.008218,0.666667,0.088469,1.144428,15,1,0.000000,1.000000,0.000000,0.000000,0.192389
-9,3,6,-8.500000,3.500000,6.500000,28,linear,linear,0.093359,0.002519,0.000002,0.973015,0.026962,0.000022,0.999978,0.000790,1.646366,134.481572,0.246694,-132.835206,0.498814,9.259778,0.948227,8.760964,1,0.166667,0.000000,0.156078,0.333333,0.028431,0.977371,12,3,0.890103,0.498326,0.357323,0.550188,0.308676
-8,-21,-1,-7.500000,-20.500000,-0.500000,21,planar,planar,0.153006,0.040961,0.001272,0.732291,0.259393,0.008316,0.991684,0.019979,2.409160,11.166610,0.412056,-8.757450,0.338275,1.436771,1.309023,1.098496,1,0.166667,0.000000,0.114538,0.333333,0.041858,0.921293,9,2,0.613766,0.848426,0.118371,0.092017,0.102551
-8,-21,0,-7.500000,-20.500000,0.500000,22,planar,planar,0.124646,0.059130,0.001444,0.525614,0.462802,0.011584,0.988416,0.021996,2.449582,0.973779,0.399810,1.475803,0.695732,0.226350,1.680619,-0.469382,2,0.333333,0.333333,0.062011,0.045045,0.202220,0.399930,11,2,0.736018,0.792841,0.053839,0.088609,0.032101
-8,-21,1,-7.500000,-20.500000,1.500000,16,planar,planar,0.087028,0.028248,0.000246,0.675416,0.321755,0.002829,0.997171,0.008459,2.017499,4.738134,0.296339,-2.720636,0.505956,0.948685,1.331235,0.442729,1,0.166667,0.000000,0.009483,0.333333,0.050679,0.779469,9,1,0.000000,1.000000,0.000000,0.000000,0.070959
-8,-10,9,-7.500000,-9.500000,9.500000,23,planar,planar,0.100128,0.079403,0.000711,0.206988,0.785910,0.007102,0.992898,0.017815,2.289209,27.863502,0.399088,-25.574292,0.588948,3.386478,1.571528,2.797530,1,0.166667,0.000000,0.000046,0.333333,0.078679,0.766729,8,1,0.411723,0.917271,0.180900,0.000000,0.065356
-8,-7,-1,-7.500000,-6.500000,-0.500000,15,linear,linear,0.079378,0.000342,0.000000,0.995696,0.004304,0.000000,1.000000,0.000060,1.159386,74.585636,0.238985,-73.426250,0.359849,6.163109,0.900765,5.803260,2,0.333333,0.000000,0.026781,0.666667,0.062947,1.169488,11,1,0.000000,1.000000,0.000000,0.000000,0.167178
