rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
148,6,11,-1,planar,47,0.055556,0.038834,-2.065992,2.872392,0.000000,0.196457,0.117647,0.409691,0.527962,-4.843994
149,6,3,0,planar,202,1.314311,-0.632733,-2.317688,3.239643,0.000000,0.085258,0.058761,0.533116,0.313068,-4.875753
150,1,3,-2,planar,331,1.485330,0.033032,-2.646271,3.749342,0.000000,0.000039,0.263063,0.641013,0.422756,-4.877252
151,-8,6,8,planar,18,-1.799083,0.648227,-1.518382,2.209212,0.000000,0.018548,0.365079,0.228507,0.693293,-4.878450
152,-1,11,7,planar,19,-1.296226,0.377982,-1.783207,2.228174,0.000000,0.494817,0.363636,0.138211,1.334670,-4.929625
153,-8,-10,6,planar,27,-1.621109,0.495526,-1.609243,2.240917,0.000000,0.009769,0.333333,0.052417,0.779855,-4.975743
154,-9,6,8,planar,19,-1.072686,-0.191112,-1.531548,2.244355,0.000000,0.011378,0.333333,0.230319,0.648694,-5.039701
155,-6,-11,8,planar,25,-1.336654,0.282129,-1.763389,2.227716,0.000000,0.040124,0.021277,0.203632,0.344238,-5.045629
156,-10,-6,8,planar,37,1.358003,-0.289994,-2.404499,3.732350,0.000000,0.037095,0.139086,0.561025,0.336406,-5.068840
157,6,-3,3,planar,150,1.025098,-0.345825,-2.317880,3.506458,0.000000,0.069232,0.287403,0.522564,0.542939,-5.145065
158,-1,-5,-2,planar,153,-1.057839,-0.057235,-1.797553,2.249360,0.000000,0.000025,0.215280,0.430867,0.370175,-5.161987
159,6,-13,1,corner_like,26,-7.071113,1.584804,0.742647,0.458098,0.000000,0.437412,0.666667,0.042676,1.723839,-5.201760
160,3,-3,4,planar,161,-2.488948,0.247623,-1.224541,1.831434,0.000000,0.120174,0.033467,0.137384,0.465715,-5.297299
161,6,-8,2,planar,46,-2.469894,0.603260,-1.384106,2.052628,0.000000,0.094283,0.441860,0.197357,0.879995,-5.303368
162,2,3,-2,planar,245,0.945606,0.003149,-2.528363,3.749380,0.000000,0.000036,0.263074,0.611817,0.422764,-5.328989
163,-11,-5,8,planar,18,-1.251559,0.010233,-1.864459,2.234278,0.000000,0.004571,0.666667,0.122841,1.139505,-5.340063
164,6,-13,3,linear,16,-3.925097,1.010872,-0.658036,1.780378,0.000000,0.240010,0.666667,0.070325,1.457346,-5.352639
165,-2,18,-1,planar,35,-1.408366,-0.129009,-1.756503,2.095766,0.000000,0.007089,0.004695,0.428361,0.148068,-5.389645
166,6,8,1,planar,65,-0.935816,-0.148039,-1.971221,2.349618,0.000000,0.067039,0.103800,0.448105,0.338016,-5.404694
167,1,-3,-2,planar,676,1.059323,-0.090493,-2.661938,3.748875,0.000000,0.000028,0.331074,0.644940,0.497553,-5.441983
168,-2,-8,-2,linear,40,-4.217754,0.866435,-0.292083,1.799975,0.000000,0.004935,0.204315,0.242554,0.364743,-5.443377
169,1,-10,6,linear,17,-4.407690,1.248565,-0.513773,1.799258,0.000000,0.008499,0.333333,0.040726,0.778140,-5.472157
170,12,-2,-1,linear,21,-5.062323,1.694950,-0.318400,1.791675,0.000000,0.036371,1.000000,0.099839,1.549101,-5.477448
171,-8,4,8,planar,55,-0.640073,0.272590,-2.153385,3.001703,0.000000,0.084594,0.459259,0.306624,0.886054,-5.522570
172,3,6,-2,planar,50,-2.009707,0.232968,-1.556357,2.248863,0.000000,0.012840,0.159294,0.366430,0.325891,-5.581960
173,3,-7,4,planar,49,-1.179804,-0.347182,-1.864170,2.195169,0.000000,0.025994,0.340426,0.292088,0.676227,-5.586325
174,12,-3,0,planar,45,-2.842669,0.861015,-1.500105,2.108905,0.000000,0.028854,0.666667,0.098607,1.172286,-5.590665
175,-10,2,8,planar,25,-3.329818,1.623083,-1.659643,2.225872,0.000000,0.009452,0.666667,0.108622,1.146093,-5.592249
176,1,-4,-2,planar,342,0.783094,-0.059683,-2.696709,3.749077,0.000000,0.000037,0.287595,0.653527,0.449738,-5.722376
177,0,1,-2,planar,1065,-2.422239,0.461047,-1.514642,2.246830,0.000000,0.000145,0.395133,0.230131,0.701509,-5.722663
178,1,-7,-2,planar,84,-1.256026,-0.075598,-2.014292,2.432612,0.000000,0.000046,0.144611,0.484704,0.292467,-5.778528
179,-9,2,8,planar,61,-1.094661,0.121846,-2.089907,2.719622,0.000000,0.089271,0.024691,0.459682,0.281009,-5.782343
180,-5,18,1,planar,23,-1.353793,-0.164261,-1.979950,2.353897,0.000000,0.009015,0.388889,0.302001,0.706614,-5.851900
181,-9,4,8,planar,62,0.390081,-0.128665,-2.455935,3.661651,0.000000,0.005040,0.381944,0.379855,0.693609,-5.856170
182,-10,3,8,planar,32,-0.313590,0.131598,-2.282651,3.424964,0.000000,0.030088,0.231602,0.538570,0.428714,-5.889607
183,0,-10,7,planar,63,-2.371195,0.625092,-1.912317,2.244974,0.000000,0.022225,0.666667,0.123601,1.163337,-5.903394
184,-10,4,8,planar,41,-1.035190,0.219511,-2.150342,2.939086,0.000000,0.017526,0.492063,0.325862,0.831596,-5.905106
185,1,7,-2,linear,47,-5.010357,1.129831,-0.278028,1.799961,0.000000,0.020591,0.131052,0.235330,0.305289,-5.958515
186,1,-5,-2,planar,171,0.486534,-0.202241,-2.499147,3.749106,0.000000,0.000064,0.240940,0.604589,0.398455,-5.963960
187,6,-5,3,planar,72,0.149357,-0.055440,-2.507707,3.553313,0.000000,0.047404,0.446043,0.374397,0.821309,-5.967103
188,0,-8,4,planar,162,-2.388852,0.360925,-1.870916,2.112397,0.000000,0.241479,0.666667,0.096422,1.459331,-6.011241
189,-6,10,8,planar,17,-2.680616,0.519136,-1.808682,2.071219,0.000000,0.061053,0.347826,0.264177,0.731696,-6.041381
190,-9,1,8,planar,61,-2.740360,0.809797,-1.895536,2.235395,0.000000,0.010228,0.333333,0.062106,0.780474,-6.061494
191,2,0,-2,planar,734,-1.389359,0.225113,-2.120925,2.799346,0.000000,0.002025,0.383358,0.510148,0.557760,-6.084517
192,-12,7,8,linear,19,-3.857937,0.131065,-0.598342,1.797015,0.000000,0.000000,0.000000,0.000000,0.400000,-6.122229
193,3,-6,4,planar,48,-1.889902,-0.134178,-1.895357,2.222995,0.000000,0.033945,0.441379,0.296534,0.798009,-6.142432
194,5,-13,4,planar,22,-3.474898,1.008915,-1.582500,2.154620,0.000000,0.249705,0.666667,0.079604,1.470435,-6.203103
195,6,-11,2,planar,24,-1.786858,0.695693,-2.135521,3.012384,0.000000,0.028545,0.081481,0.253732,0.394833,-6.239070
196,-1,-7,-2,planar,98,-0.450862,-0.103998,-2.295354,3.393545,0.000000,0.005381,0.247002,0.551214,0.412300,-6.243759
197,-1,11,3,linear,52,-5.028284,1.016773,-0.513986,1.760239,0.000000,0.057181,0.088050,0.142834,0.440716,-6.285735
198,3,2,4,planar,171,-3.978095,0.812904,-1.230605,1.907574,0.000000,0.290083,0.132988,0.110622,0.804565,-6.303371
199,-1,18,2,planar,35,-2.729000,0.512796,-1.867924,2.244506,0.000000,0.008267,0.072934,0.445013,0.224722,-6.328633
