rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
139,1,5,-2,planar,113,0.355003,-0.151238,-1.880672,2.249098,-2.520982,0.000097,0.223586,0.451438,0.379409,-6.446987
140,-9,6,8,planar,19,-1.072686,-0.191112,-1.531548,2.244355,-1.440956,0.011378,0.333333,0.230319,0.648694,-6.480657
141,-9,3,8,planar,61,0.270454,-0.227141,-1.847649,2.207349,-2.493896,0.009224,0.047755,0.442410,0.198316,-6.505580
142,6,0,0,planar,195,-1.155408,0.112542,-1.575150,1.888848,-2.064039,0.245639,0.245683,0.299124,0.735196,-6.570904
143,6,1,0,planar,291,1.884528,-0.113526,-2.271660,3.277988,-2.819791,0.034062,0.045077,0.551041,0.228901,-6.598436
144,0,-10,7,planar,63,-2.371195,0.625092,-1.912317,2.244974,-0.704136,0.022225,0.666667,0.123601,1.163337,-6.607530
145,0,-8,4,planar,162,-2.388852,0.360925,-1.870916,2.112397,-0.622600,0.241479,0.666667,0.096422,1.459331,-6.633840
146,6,-8,2,planar,46,-2.469894,0.603260,-1.384106,2.052628,-1.342071,0.094283,0.441860,0.197357,0.879995,-6.645439
147,2,5,-2,planar,85,1.680668,0.200637,-2.300756,3.413528,-2.833447,0.000015,0.202806,0.555593,0.356440,-6.666425
148,1,4,-2,planar,187,0.883217,-0.110807,-2.101096,2.726796,-2.684806,0.000028,0.211283,0.506046,0.365782,-6.740288
149,5,-13,4,planar,22,-3.474898,1.008915,-1.582500,2.154620,-0.572146,0.249705,0.666667,0.079604,1.470435,-6.775249
150,6,10,1,planar,36,-0.088589,0.035584,-1.945686,2.366995,-2.410076,0.141652,0.182823,0.414470,0.525669,-6.775760
151,6,4,3,planar,109,0.700840,-0.226993,-2.038759,2.779004,-2.503307,0.127870,0.389958,0.445547,0.734912,-6.847223
152,6,6,-1,planar,112,0.190616,-0.394924,-1.920454,2.286372,-2.447356,0.121680,0.187483,0.426896,0.503832,-6.858490
153,6,-4,3,planar,74,0.680687,-0.274613,-2.088049,2.718940,-2.585076,0.062911,0.217646,0.472803,0.457674,-6.985990
154,6,4,0,planar,177,0.119373,-0.409499,-1.938275,2.270592,-2.496608,0.113442,0.097893,0.443314,0.394163,-6.995602
155,6,0,3,planar,224,2.002238,0.146010,-2.553232,3.735771,-2.867468,0.084368,0.100321,0.566934,0.357582,-7.008223
156,1,-6,-2,planar,104,0.334724,-0.302670,-2.030786,2.486581,-2.632640,0.000066,0.145777,0.488658,0.293776,-7.117953
157,1,1,-2,planar,1429,1.937996,0.516076,-2.699660,3.747548,-3.125466,0.002261,0.184255,0.652933,0.339067,-7.118602
158,0,1,-2,planar,1065,-2.422239,0.461047,-1.514642,2.246830,-1.440393,0.000145,0.395133,0.230131,0.701509,-7.163057
159,-8,4,8,planar,55,-0.640073,0.272590,-2.153385,3.001703,-1.669872,0.084594,0.459259,0.306624,0.886054,-7.192442
160,3,-7,4,planar,49,-1.179804,-0.347182,-1.864170,2.195169,-1.626263,0.025994,0.340426,0.292088,0.676227,-7.212588
