rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
0,6,13,0,volumetric,36,2.835336,0.329004,1.318980,0.132549,3.739939,0.520785,0.736434,0.064483,1.779804,8.090710
1,4,-3,-1,volumetric,193,2.785246,0.287700,1.350097,0.199947,2.714704,0.362529,0.513761,0.065644,1.321218,6.937799
2,6,-2,-1,corner_like,68,0.446755,0.048354,0.745707,0.275631,5.732644,0.731711,1.000000,0.034425,2.487809,6.697829
3,4,-1,-1,corner_like,310,2.601651,0.051998,0.912959,0.196657,3.324509,0.635071,0.392982,0.058838,1.556293,6.694460
4,6,14,1,corner_like,26,2.641705,-0.082174,0.776490,0.270888,3.240494,0.257801,0.666667,0.065514,1.481365,6.305627
5,6,7,2,volumetric,35,1.004453,-0.146068,1.115927,0.231046,4.192792,0.843240,0.408163,0.020695,1.854020,5.936057
6,1,-1,-2,corner_like,1646,1.960966,-0.324566,1.019528,0.217410,3.024912,0.397907,0.679092,0.108368,1.550843,5.463431
7,6,8,2,corner_like,38,1.648937,-0.752185,0.795565,0.191866,3.808438,0.685026,0.503876,0.055647,1.745716,5.308890
8,6,12,-1,corner_like,35,2.575320,-0.056109,0.092861,0.560220,2.633861,0.298088,0.822917,0.246731,1.574294,4.685713
9,4,-2,-1,volumetric,168,2.395232,0.131032,1.083355,0.486083,1.514286,0.329043,0.477535,0.190089,1.102830,4.637823
10,6,-2,0,corner_like,160,2.104318,-0.215324,0.721290,0.198831,2.005478,0.452482,0.435880,0.170354,1.223652,4.416931
11,6,6,2,corner_like,60,2.121384,-0.056270,0.398543,0.344801,2.127418,0.349893,0.415771,0.150310,1.196370,4.246274
12,6,5,2,volumetric,58,2.172327,-0.256479,1.019555,0.179061,0.686371,0.113634,0.382525,0.179207,0.707518,3.442713
13,6,2,2,corner_like,161,2.762012,0.246134,0.644436,0.354662,-0.293430,0.022491,0.435669,0.392541,0.642931,3.004490
14,6,3,2,corner_like,154,2.653074,0.183945,0.619811,0.351833,-0.181622,0.027247,0.469982,0.392113,0.687098,2.923375
15,6,0,2,corner_like,147,2.253954,-0.006639,0.599817,0.221404,0.132074,0.084623,0.468237,0.353696,0.762635,2.757803
16,6,3,-1,corner_like,213,2.185997,0.023122,0.050975,0.584978,0.514705,0.345125,0.181878,0.302643,0.799318,2.189822
17,6,-3,2,corner_like,169,2.290833,0.011684,0.399856,0.320815,-0.217194,0.015238,0.512172,0.426286,0.717294,2.164365
18,6,-4,2,corner_like,123,2.416321,-0.096328,0.227355,0.410627,-0.089174,0.030699,0.585260,0.464794,0.818563,2.047547
19,6,-2,1,corner_like,275,2.879421,0.398547,0.191258,0.593394,-0.831121,0.090424,0.133429,0.411250,0.402177,2.044712
20,6,1,2,corner_like,206,2.683688,0.253136,-0.058263,0.687923,-0.286267,0.136576,0.406616,0.484227,0.764988,1.904371
21,6,-1,2,corner_like,141,2.038183,-0.012670,0.451247,0.292924,-0.312939,0.022045,0.451375,0.411371,0.659607,1.870896
22,6,-2,2,volumetric,201,2.289798,-0.178990,0.365272,0.446159,-0.414955,0.024826,0.418526,0.417852,0.627226,1.614966
23,6,-9,1,corner_like,50,0.300576,-0.411111,0.394234,0.308721,1.613324,0.478817,0.286430,0.191907,1.094809,1.588301
24,3,15,3,linear,33,2.002997,-0.846830,-0.362533,1.527343,2.227662,0.325871,0.444444,0.118782,1.195482,1.493953
25,6,4,2,corner_like,149,2.083900,-0.048805,0.259120,0.372733,-0.635815,0.033789,0.257901,0.397665,0.462639,1.285668
26,6,4,-1,corner_like,204,2.253878,0.025324,-0.299895,0.840997,0.109030,0.281881,0.218245,0.392561,0.753941,1.247340
27,6,-3,1,corner_like,276,2.803596,0.081246,0.006749,0.628945,-1.132675,0.036439,0.137007,0.451003,0.333233,1.129971
28,12,-1,-1,linear,24,-0.757915,0.631967,-0.286426,1.733605,3.236748,0.052907,1.000000,0.097481,1.571425,1.090769
29,1,0,-2,planar,1343,2.107231,-0.464994,-1.333359,1.711814,2.381690,0.277845,0.690190,0.190992,1.400966,0.978753
30,6,-7,2,corner_like,57,-0.202495,-0.187491,0.702017,0.265448,0.923234,0.063252,0.368932,0.183530,0.757882,0.969817
