rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
40,-6,11,3,linear,33,2.090394,0.052787,-0.566816,1.760825,0.496736,0.047346,0.114155,0.150525,0.456155,0.312275
41,6,-3,-1,corner_like,184,-0.027718,-0.227208,0.270237,0.569285,0.847174,0.403994,0.340637,0.256244,1.053426,0.293200
42,0,-7,-2,linear,54,1.918047,0.524386,-0.660049,1.797929,0.302178,0.006841,0.170295,0.332800,0.329893,0.286633
43,3,-5,4,corner_like,96,-1.381671,-0.079423,0.427853,0.293229,1.598921,0.077026,0.660360,0.383737,0.963715,0.272451
44,-7,11,3,linear,24,1.890515,0.111778,-0.476430,1.787034,0.461227,0.025356,0.098039,0.141714,0.408741,0.200057
45,-1,-9,-2,linear,36,0.817730,-0.055256,-0.296789,1.799980,1.196981,0.008114,0.370370,0.154871,0.685027,-0.137314
46,-7,-8,8,planar,47,2.347275,-0.197169,-1.811958,2.046622,1.354645,0.019139,0.473896,0.281901,0.813789,-0.353829
47,-5,-8,8,planar,63,2.378941,-0.278297,-1.770326,1.825658,1.106758,0.138905,0.371069,0.247015,0.862365,-0.388581
48,-6,-7,8,planar,67,1.980189,0.070323,-1.764636,2.239911,1.510562,0.097790,0.516667,0.243605,0.967016,-0.443472
49,6,-6,2,corner_like,57,-2.873240,0.620860,0.669379,0.276234,1.305296,0.181907,0.413333,0.164704,0.966908,-0.553938
50,-1,-11,8,planar,31,2.297167,0.286904,-1.398390,2.207994,0.351247,0.014214,0.066667,0.165420,0.359188,-0.671065
51,-6,6,8,planar,17,1.102214,-0.637728,-1.330159,2.058009,2.247329,0.046408,0.666667,0.086005,1.195984,-0.676353
52,-9,-3,8,planar,56,2.161980,-0.073873,-1.958385,2.295770,1.354857,0.050501,0.333333,0.061809,0.834843,-0.811191
53,1,8,-2,linear,38,-0.999477,0.005986,-0.315545,1.799975,2.264729,0.000390,0.666667,0.068604,1.133860,-0.844282
54,-8,-7,8,planar,34,2.552528,0.257942,-1.864226,2.123363,0.255810,0.017769,0.194155,0.444784,0.370892,-0.921310
55,-10,-4,8,linear,21,-1.386594,0.388697,-0.405926,1.797766,2.268252,0.130517,0.666667,0.065081,1.309532,-0.933337
56,-12,4,8,planar,24,1.235079,-0.231091,-1.409452,2.065961,1.372006,0.060509,0.333333,0.044661,0.848354,-1.099418
57,-2,-11,8,planar,36,2.186065,0.412483,-1.772851,2.230367,0.260860,0.023101,0.049383,0.208275,0.352174,-1.143810
58,-5,18,2,planar,15,1.783915,0.015526,-1.872059,2.239806,1.142846,0.022282,0.396396,0.280577,0.732784,-1.169579
59,-9,-8,8,planar,30,1.806275,-0.406319,-2.081496,2.729114,2.203072,0.060984,0.666667,0.130261,1.215661,-1.207583
60,-4,-8,8,linear,47,0.529016,-0.167394,-0.475427,1.748685,0.624165,0.287383,0.143939,0.105001,0.812967,-1.238325
61,-8,11,3,planar,18,1.375410,0.116182,-1.901090,2.248204,1.354650,0.012234,0.333333,0.062016,0.783183,-1.303051
62,-1,-8,5,linear,25,-1.971618,0.713492,-0.584381,1.777671,2.275185,0.336195,0.666667,0.058149,1.587197,-1.344994
63,2,6,-2,planar,64,1.947717,0.362791,-1.599173,2.248597,0.181672,0.000068,0.144291,0.381795,0.292145,-1.355589
64,6,-5,2,planar,93,0.778354,-0.544858,-1.576083,1.325112,1.284165,0.057137,0.566667,0.440835,0.833801,-1.383534
65,0,-10,6,planar,38,1.107023,-0.359007,-1.995321,2.367192,2.204734,0.025788,0.666667,0.128599,1.168147,-1.409762
66,-7,-6,8,planar,68,1.276408,-0.214366,-1.875180,2.245126,1.540226,0.062240,0.536797,0.269298,0.941166,-1.518038
67,6,5,-1,planar,110,1.287938,-0.535533,-1.324376,1.519736,0.538951,0.249239,0.228360,0.255705,0.721002,-1.552755
68,2,9,-2,linear,17,0.059580,0.064646,-0.425298,1.799996,0.500000,0.000000,0.000000,0.000000,0.400000,-1.601067
69,-3,-11,8,linear,23,0.815285,-0.546902,-0.424051,1.782380,0.308986,0.021781,0.040650,0.136136,0.340786,-1.629062
70,6,5,3,planar,16,0.528888,-0.178597,-1.522037,2.179103,1.636728,0.348140,0.529680,0.153226,1.319304,-1.714122
71,-13,-7,8,planar,21,1.206538,-0.287769,-1.881242,2.226030,1.355818,0.024427,0.333333,0.060849,0.799643,-1.832685
72,6,-13,2,planar,16,0.125303,-0.747170,-1.117443,1.482129,1.383484,0.546529,0.412698,0.084770,1.458449,-1.837955
73,6,-10,2,planar,28,-0.329778,-0.066161,-1.221510,1.560678,1.194405,0.298925,0.364780,0.142073,1.071474,-1.983722
74,-5,-11,8,planar,25,1.629629,-0.300729,-1.611362,2.160159,0.422253,0.070362,0.098592,0.182207,0.470106,-2.020368
75,-5,11,3,planar,49,2.437178,-0.012929,-2.033048,2.673449,0.238133,0.050497,0.051282,0.236226,0.391248,-2.044114
76,-10,7,8,planar,24,-0.148873,-0.135977,-1.755641,2.233326,2.219306,0.017156,0.666667,0.114028,1.156494,-2.054512
77,-2,11,7,linear,16,-1.048199,0.090094,-0.634146,1.794421,1.330107,0.534007,0.398010,0.097753,1.425386,-2.056564
78,-1,-8,-2,linear,43,-0.158711,-0.226765,-0.287279,1.799968,0.403494,0.005540,0.173837,0.241224,0.332033,-2.069230
79,-10,-11,8,planar,15,1.627666,-0.229711,-2.089723,2.729132,1.348495,0.018558,0.333333,0.068171,0.791720,-2.072404
80,4,0,4,planar,19,-0.865109,0.096037,-1.546537,2.003654,2.243558,0.142401,0.666667,0.089776,1.325574,-2.075705
81,6,4,1,planar,212,2.534593,-0.004734,-2.078967,2.636007,0.067454,0.066146,0.144858,0.497572,0.381975,-2.117662
82,-11,-6,8,planar,22,0.219949,0.241941,-1.432797,2.245104,1.062604,0.017270,0.342857,0.213586,0.667124,-2.153407
83,-2,-9,-2,linear,32,-1.600179,0.341896,-0.368168,1.799986,1.197215,0.000215,0.375000,0.167369,0.679457,-2.229221
84,-8,-6,8,planar,49,2.506183,0.193460,-2.164459,2.949004,0.172651,0.013819,0.191045,0.519390,0.362139,-2.241168
85,0,-5,-2,planar,220,1.883999,0.545260,-2.120123,2.792309,0.225416,0.000072,0.207090,0.510748,0.361230,-2.257757
86,-10,-7,8,planar,30,2.382606,-0.337148,-2.268932,3.357766,1.253967,0.017988,0.460606,0.346033,0.797617,-2.327273
87,12,-2,-1,linear,21,-5.062323,1.694950,-0.318400,1.791675,3.150161,0.036371,1.000000,0.099839,1.549101,-2.327287
88,-10,-5,8,planar,44,2.019771,0.590246,-2.223717,3.157181,0.388051,0.075968,0.260904,0.496101,0.522884,-2.382831
89,-6,18,2,planar,15,0.132859,-0.132852,-1.628798,2.143985,1.365478,0.062446,0.333333,0.051188,0.850968,-2.407298
90,-7,-7,8,planar,62,2.491674,0.268030,-2.208318,3.143755,0.105398,0.015497,0.169780,0.528165,0.341013,-2.486972
91,0,-6,-2,planar,114,1.737275,0.304321,-2.097166,2.714325,0.274742,0.000096,0.222967,0.505085,0.378727,-2.495153
92,6,1,3,planar,187,2.384408,0.014114,-2.110407,2.968605,0.161847,0.076220,0.173202,0.481125,0.426753,-2.518642
93,-9,-6,8,planar,35,2.067452,0.056663,-2.047650,2.591294,-0.016063,0.034030,0.107444,0.478200,0.297462,-2.530892
94,-3,11,6,corner_like,38,-5.463686,0.820407,0.859947,0.247664,1.382909,0.068476,0.333333,0.033758,0.859110,-2.648088
95,3,-8,4,planar,46,0.126091,-0.139718,-1.829807,2.073317,1.248493,0.239095,0.413502,0.221971,1.044297,-2.668258
96,6,6,0,planar,90,2.084648,-0.320209,-1.971368,2.483902,-0.110734,0.119629,0.059933,0.442215,0.360759,-2.801565
97,-4,11,3,planar,45,1.317601,-0.482559,-1.727386,2.219569,0.254289,0.035146,0.044248,0.200726,0.362786,-2.857623
98,-8,-5,8,planar,57,2.277379,0.189290,-2.308372,3.477022,0.422260,0.075360,0.281385,0.518217,0.544593,-2.896466
99,6,-13,1,corner_like,26,-7.071113,1.584804,0.742647,0.458098,2.290657,0.437412,0.666667,0.042676,1.723839,-2.911103
100,0,-9,-2,linear,40,-2.964928,2.060637,-0.610571,1.795616,0.385134,0.019336,0.194658,0.316843,0.373562,-2.925343
101,-4,18,2,planar,22,-0.018581,0.062775,-1.926324,2.240030,1.168857,0.009625,0.410256,0.292681,0.730942,-2.953303
102,0,-2,-2,planar,1051,-0.129333,-0.073587,-1.671070,2.246664,1.161738,0.000158,0.393902,0.254827,0.700172,-2.958915
103,6,-13,3,linear,16,-3.925097,1.010872,-0.658036,1.780378,2.263008,0.240010,0.666667,0.070325,1.457346,-3.089631
104,6,-16,1,planar,15,1.845921,-0.025640,-2.234404,3.180688,0.500000,0.000000,0.000000,0.000000,0.400000,-3.094812
105,-3,11,3,planar,64,1.307673,-0.228292,-1.967509,2.484528,0.275415,0.018849,0.065476,0.237978,0.364136,-3.097240
106,-8,-11,8,planar,15,1.032702,-0.587714,-1.582690,2.232989,0.265295,0.021019,0.042735,0.185560,0.342050,-3.105396
107,6,7,0,planar,83,2.567656,0.078348,-2.343721,3.312758,-0.102129,0.097684,0.094916,0.529815,0.369614,-3.112604
108,-11,-5,8,planar,18,-1.251559,0.010233,-1.864459,2.234278,2.210492,0.004571,0.666667,0.122841,1.139505,-3.129572
109,0,-11,8,linear,24,-4.952595,2.516013,-0.296238,1.785379,1.383553,0.022458,0.333333,0.033114,0.796985,-3.134646
110,-9,-7,8,planar,38,1.318623,-0.235189,-1.928425,2.240466,-0.156147,0.028951,0.046474,0.450618,0.223538,-3.241603
111,4,-13,4,planar,16,-0.106566,-0.018102,-1.587534,1.811421,0.247286,0.277049,0.021277,0.144558,0.664087,-3.276338
112,5,-2,4,linear,37,-1.860668,0.241046,-0.506485,1.765911,0.578256,0.358996,0.124088,0.096318,0.887807,-3.313761
113,-4,11,7,planar,27,1.770169,-0.194019,-2.553747,3.715644,1.371249,0.468126,0.333333,0.045418,1.398637,-3.321993
114,6,3,3,planar,94,2.233836,0.393812,-2.429010,3.726754,0.193308,0.112039,0.199935,0.523178,0.504514,-3.334807
115,12,-3,0,planar,45,-2.842669,0.861015,-1.500105,2.108905,2.234726,0.028854,0.666667,0.098607,1.172286,-3.355939
116,-10,2,8,planar,25,-3.329818,1.623083,-1.659643,2.225872,2.224712,0.009452,0.666667,0.108622,1.146093,-3.367538
117,-6,7,8,planar,35,-0.008493,-0.247665,-1.949933,2.333677,1.140367,0.009767,0.403101,0.301494,0.723263,-3.399401
118,3,10,-2,linear,15,-1.888258,-0.008547,-0.282680,1.799998,0.500000,0.000000,0.000000,0.000000,0.400000,-3.479483
119,6,2,0,planar,243,2.191695,-0.063951,-2.203626,3.308475,-0.126361,0.045823,0.083798,0.523472,0.287373,-3.510718
120,6,-12,2,linear,17,-2.119796,0.468055,-0.529734,1.781613,0.432906,0.450001,0.066667,0.083761,0.947502,-3.530182
121,6,4,3,planar,109,0.700840,-0.226993,-2.038759,2.779004,0.793505,0.127870,0.389958,0.445547,0.734912,-3.550410
122,6,-9,2,planar,29,-1.420914,0.486976,-1.368168,1.521034,0.265874,0.256423,0.130890,0.260739,0.623483,-3.557266
123,-9,-5,8,planar,55,1.716467,0.052999,-2.180304,3.005556,-0.145897,0.047423,0.068545,0.501063,0.272755,-3.562291
124,-11,-7,8,planar,17,1.727201,-0.300272,-2.145509,2.959465,0.102494,0.056939,0.155262,0.491142,0.380989,-3.575552
125,1,5,-2,planar,113,0.355003,-0.151238,-1.880672,2.249098,0.330089,0.000097,0.223586,0.451438,0.379409,-3.595916
126,-8,-10,6,planar,27,-1.621109,0.495526,-1.609243,2.240917,1.364249,0.009769,0.333333,0.052417,0.779855,-3.611493
127,2,5,-2,planar,85,1.680668,0.200637,-2.300756,3.413528,0.168790,0.000015,0.202806,0.555593,0.356440,-3.664188
128,0,-10,7,planar,63,-2.371195,0.625092,-1.912317,2.244974,2.209732,0.022225,0.666667,0.123601,1.163337,-3.693661
129,-1,11,7,planar,19,-1.296226,0.377982,-1.783207,2.228174,1.195122,0.494817,0.363636,0.138211,1.334670,-3.734503
130,-8,6,8,planar,18,-1.799083,0.648227,-1.518382,2.209212,1.108794,0.018548,0.365079,0.228507,0.693293,-3.769656
131,0,-8,4,planar,162,-2.388852,0.360925,-1.870916,2.112397,2.236911,0.241479,0.666667,0.096422,1.459331,-3.774329
132,1,4,-2,planar,187,0.883217,-0.110807,-2.101096,2.726796,0.241648,0.000028,0.211283,0.506046,0.365782,-3.813835
133,1,2,-2,planar,667,1.801356,0.308640,-2.646744,3.748916,0.446641,0.000030,0.334963,0.641173,0.501832,-3.839023
134,-7,-10,6,linear,39,-2.498895,0.829272,-0.627294,1.791688,0.234868,0.013088,0.022989,0.161684,0.309623,-3.853737
135,5,-13,4,planar,22,-3.474898,1.008915,-1.582500,2.154620,2.253729,0.249705,0.666667,0.079604,1.470435,-3.949374
136,6,-8,2,planar,46,-2.469894,0.603260,-1.384106,2.052628,1.351093,0.094283,0.441860,0.197357,0.879995,-3.952276
137,6,0,0,planar,195,-1.155408,0.112542,-1.575150,1.888848,0.543170,0.245639,0.245683,0.299124,0.735196,-3.963695
138,1,1,-2,planar,1429,1.937996,0.516076,-2.699660,3.747548,0.020436,0.002261,0.184255,0.652933,0.339067,-3.972700
139,-5,9,8,linear,18,-2.989976,0.863694,-0.477904,1.797312,0.390519,0.057693,0.180791,0.273323,0.410089,-4.010979
140,-9,6,8,planar,19,-1.072686,-0.191112,-1.531548,2.244355,1.019681,0.011378,0.333333,0.230319,0.648694,-4.020020
141,6,1,0,planar,291,1.884528,-0.113526,-2.271660,3.277988,-0.260414,0.034062,0.045077,0.551041,0.228901,-4.039059
142,-4,-11,8,planar,46,0.104736,-0.047889,-1.962204,2.289336,0.150160,0.064911,0.013889,0.221368,0.369574,-4.044533
143,1,-10,6,linear,17,-4.407690,1.248565,-0.513773,1.799258,1.375941,0.008499,0.333333,0.040726,0.778140,-4.096216
144,6,-4,3,planar,74,0.680687,-0.274613,-2.088049,2.718940,0.292391,0.062911,0.217646,0.472803,0.457674,-4.108524
145,6,10,1,planar,36,-0.088589,0.035584,-1.945686,2.366995,0.254961,0.141652,0.182823,0.414470,0.525669,-4.110724
146,-9,-4,8,linear,30,-1.946764,0.205445,-0.606293,1.796854,0.015051,0.096526,0.050622,0.290826,0.319328,-4.129415
147,6,6,-1,planar,112,0.190616,-0.394924,-1.920454,2.286372,0.255348,0.121680,0.187483,0.426896,0.503832,-4.155785
148,-9,3,8,planar,61,0.270454,-0.227141,-1.847649,2.207349,-0.144417,0.009224,0.047755,0.442410,0.198316,-4.156101
149,0,-4,-2,planar,411,1.695486,0.235749,-2.578000,3.749001,0.229309,0.000023,0.249742,0.624148,0.408081,-4.166456
150,6,2,3,planar,170,2.076148,0.066333,-2.697261,3.732272,0.073598,0.067847,0.188226,0.610689,0.431975,-4.213453
151,-8,4,8,planar,55,-0.640073,0.272590,-2.153385,3.001703,1.289672,0.084594,0.459259,0.306624,0.886054,-4.232898
152,5,4,4,planar,49,-1.360596,0.157137,-1.623958,1.702495,0.269207,0.254202,0.032787,0.154290,0.645905,-4.260706
153,6,0,3,planar,224,2.002238,0.146010,-2.553232,3.735771,-0.124386,0.084368,0.100321,0.566934,0.357582,-4.265140
154,2,4,-2,planar,147,1.348799,0.206212,-2.396041,3.738541,0.281446,0.000034,0.252319,0.579098,0.410930,-4.298125
155,-7,-11,8,planar,22,-0.820419,0.086552,-1.796624,2.216305,0.357413,0.053816,0.083333,0.205087,0.430984,-4.389382
156,1,-6,-2,planar,104,0.334724,-0.302670,-2.030786,2.486581,0.078895,0.000066,0.145777,0.488658,0.293776,-4.406418
157,6,4,0,planar,177,0.119373,-0.409499,-1.938275,2.270592,-0.007442,0.113442,0.097893,0.443314,0.394163,-4.506435
158,0,1,-2,planar,1065,-2.422239,0.461047,-1.514642,2.246830,1.189819,0.000145,0.395133,0.230131,0.701509,-4.532844
159,-10,4,8,planar,41,-1.035190,0.219511,-2.150342,2.939086,1.360646,0.017526,0.492063,0.325862,0.831596,-4.544461
160,1,6,-2,planar,63,-0.266133,-0.220418,-1.975743,2.299404,0.196656,0.006571,0.182545,0.472010,0.343003,-4.565042
161,-12,-7,8,planar,17,0.504347,0.030326,-2.165992,3.104496,0.169588,0.016764,0.035088,0.260236,0.327894,-4.566227
162,3,-7,4,planar,49,-1.179804,-0.347182,-1.864170,2.195169,0.977416,0.025994,0.340426,0.292088,0.676227,-4.608909
163,1,3,-2,planar,331,1.485330,0.033032,-2.646271,3.749342,0.249078,0.000039,0.263063,0.641013,0.422756,-4.628174
164,0,-3,-2,planar,923,1.573645,0.127656,-2.677335,3.748654,0.047493,0.000081,0.192569,0.648737,0.345268,-4.677194
165,1,-2,-2,planar,1447,1.490530,0.136911,-2.715481,3.748297,0.133511,0.083011,0.207443,0.603623,0.473585,-4.702826
166,-9,1,8,planar,61,-2.740360,0.809797,-1.895536,2.235395,1.354561,0.010228,0.333333,0.062106,0.780474,-4.706933
167,6,-3,3,planar,150,1.025098,-0.345825,-2.317880,3.506458,0.434460,0.069232,0.287403,0.522564,0.542939,-4.710605
168,6,-1,3,planar,229,1.811054,0.095098,-2.642808,3.737429,-0.246326,0.074768,0.065554,0.593268,0.306379,-4.720412
169,-7,8,8,linear,21,-5.986681,1.042910,-0.276822,1.799942,2.280284,0.196162,0.666667,0.053049,1.398151,-4.740250
170,-5,18,1,planar,23,-1.353793,-0.164261,-1.979950,2.353897,1.100777,0.009015,0.388889,0.302001,0.706614,-4.751123
171,6,11,-1,planar,47,0.055556,0.038834,-2.065992,2.872392,0.080505,0.196457,0.117647,0.409691,0.527962,-4.763489
172,6,-5,3,planar,72,0.149357,-0.055440,-2.507707,3.553313,1.185555,0.047404,0.446043,0.374397,0.821309,-4.781548
173,-1,-5,-2,planar,153,-1.057839,-0.057235,-1.797553,2.249360,0.327820,0.000025,0.215280,0.430867,0.370175,-4.834167
174,6,1,1,planar,266,1.120655,-0.059121,-2.354603,3.523528,-0.033206,0.005968,0.137710,0.578577,0.292872,-4.849803
175,-9,4,8,planar,62,0.390081,-0.128665,-2.455935,3.661651,1.003826,0.005040,0.381944,0.379855,0.693609,-4.852344
176,-6,-11,8,planar,25,-1.336654,0.282129,-1.763389,2.227716,0.188212,0.040124,0.021277,0.203632,0.344238,-4.857416
177,3,-6,4,planar,48,-1.889902,-0.134178,-1.895357,2.222995,1.250592,0.033945,0.441379,0.296534,0.798009,-4.891840
178,-10,6,8,linear,18,-6.546098,1.543248,-0.412776,1.794032,2.260072,0.028725,0.666667,0.073261,1.172112,-4.949586
179,-2,-8,-2,linear,40,-4.217754,0.866435,-0.292083,1.799975,0.485980,0.004935,0.204315,0.242554,0.364743,-4.957397
180,3,-3,4,planar,161,-2.488948,0.247623,-1.224541,1.831434,0.287984,0.120174,0.033467,0.137384,0.465715,-5.009315
181,1,-3,-2,planar,676,1.059323,-0.090493,-2.661938,3.748875,0.432181,0.000028,0.331074,0.644940,0.497553,-5.009802
182,-6,10,8,planar,17,-2.680616,0.519136,-1.808682,2.071219,1.025678,0.061053,0.347826,0.264177,0.731696,-5.015703
183,6,11,2,planar,29,-3.047608,-0.131661,-1.425086,1.825290,1.382439,0.284921,0.441315,0.164509,1.136756,-5.047207
184,2,3,-2,planar,245,0.945606,0.003149,-2.528363,3.749380,0.278303,0.000036,0.263074,0.611817,0.422764,-5.050685
185,6,3,0,planar,202,1.314311,-0.632733,-2.317688,3.239643,-0.204858,0.085258,0.058761,0.533116,0.313068,-5.080611
186,-10,-6,8,planar,37,1.358003,-0.289994,-2.404499,3.732350,-0.011871,0.037095,0.139086,0.561025,0.336406,-5.080710
187,1,10,8,planar,29,-2.996110,0.251254,-1.516026,2.136629,1.189614,0.032878,0.394366,0.228227,0.744854,-5.207897
188,3,-4,4,planar,137,-2.806216,0.465421,-1.875585,2.200408,1.194342,0.053259,0.417639,0.287500,0.797969,-5.222446
189,0,18,3,planar,39,-4.033094,0.481991,-1.822277,2.152070,2.215149,0.024888,0.666667,0.118185,1.166932,-5.310301
190,3,6,-2,planar,50,-2.009707,0.232968,-1.556357,2.248863,0.238296,0.012840,0.159294,0.366430,0.325891,-5.343664
191,2,0,-2,planar,734,-1.389359,0.225113,-2.120925,2.799346,0.710753,0.002025,0.383358,0.510148,0.557760,-5.373764
192,6,8,1,planar,65,-0.935816,-0.148039,-1.971221,2.349618,0.004011,0.067039,0.103800,0.448105,0.338016,-5.400683
193,1,-4,-2,planar,342,0.783094,-0.059683,-2.696709,3.749077,0.304027,0.000037,0.287595,0.653527,0.449738,-5.418348
194,-8,7,8,planar,20,-4.632216,0.605651,-1.669123,2.149297,2.223806,0.009233,0.666667,0.109527,1.145798,-5.621179
195,-12,7,8,linear,19,-3.857937,0.131065,-0.598342,1.797015,0.500000,0.000000,0.000000,0.000000,0.400000,-5.622229
196,-10,3,8,planar,32,-0.313590,0.131598,-2.282651,3.424964,0.265002,0.030088,0.231602,0.538570,0.428714,-5.624605
197,-2,18,-1,planar,35,-1.408366,-0.129009,-1.756503,2.095766,-0.248784,0.007089,0.004695,0.428361,0.148068,-5.638428
198,1,7,-2,linear,47,-5.010357,1.129831,-0.278028,1.799961,0.291729,0.020591,0.131052,0.235330,0.305289,-5.666786
199,1,-7,-2,planar,84,-1.256026,-0.075598,-2.014292,2.432612,0.079642,0.000046,0.144611,0.484704,0.292467,-5.698886
