vx,vy,vz,center_x,center_y,center_z,num_points,label,eig1,eig2,eig3,linearity,planarity,scattering,anisotropy,omnivariance,gaussian_avg_mahalanobis2,gaussian_center_mahalanobis2,gaussian_avg_euclidean,gaussian_center_advantage,shell_avg_residual,shell_center_residual,shell_avg_radius,shell_center_penalty,occupied_face_count,occupied_face_ratio,opposite_face_pair_ratio,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus
-9,4,8,-8.500000,4.500000,8.500000,62,planar,0.097674,0.084721,0.001514,0.132612,0.851889,0.015498,0.984502,0.023225,2.538776,2.148694,0.401519,0.390081,0.410153,0.281488,1.403406,-0.128665,3,0.500000,0.333333,0.005040,0.381944,0.379855,0.693609
-9,6,8,-8.500000,6.500000,8.500000,19,planar,0.087556,0.026896,0.000132,0.692817,0.305677,0.001505,0.998495,0.006771,1.960404,3.033090,0.295841,-1.072686,0.358323,0.167211,1.160814,-0.191112,3,0.500000,0.333333,0.011378,0.333333,0.230319,0.648694
-9,7,8,-8.500000,7.500000,8.500000,30,linear,0.130517,0.023824,0.000636,0.817467,0.177660,0.004873,0.995127,0.012552,2.262842,13.916114,0.342826,-11.653273,0.692618,2.838269,1.672244,2.145651,3,0.500000,0.333333,0.006666,0.363636,0.195790,0.675666
-9,11,8,-8.500000,11.500000,8.500000,17,linear,0.105718,0.017913,0.000756,0.830557,0.162293,0.007150,0.992850,0.011270,2.228930,34.981557,0.305822,-32.752627,0.454186,4.398097,1.162092,3.943911,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000
-9,18,-1,-8.500000,18.500000,-0.500000,27,planar,0.081660,0.054514,0.000090,0.332431,0.666467,0.001102,0.998898,0.007373,1.976463,78.790477,0.350542,-76.814014,0.578941,5.113495,1.575216,4.534554,1,0.166667,0.000000,0.000548,0.333333,0.071719,0.767407
-8,-11,8,-7.500000,-10.500000,8.500000,15,planar,0.131064,0.044999,0.000595,0.656666,0.338798,0.004536,0.995464,0.015192,2.187309,1.154607,0.385459,1.032702,0.653673,0.065959,1.568890,-0.587714,2,0.333333,0.333333,0.021019,0.042735,0.185560,0.342050
-8,-10,6,-7.500000,-9.500000,6.500000,27,planar,0.072920,0.025790,0.000177,0.646325,0.351253,0.002422,0.997578,0.006926,2.021508,3.642617,0.291380,-1.621109,0.405932,0.901458,1.281808,0.495526,1,0.166667,0.000000,0.009769,0.333333,0.052417,0.779855
-8,-8,8,-7.500000,-7.500000,8.500000,24,planar,0.113601,0.046809,0.010873,0.587955,0.316337,0.095708,0.904292,0.038668,2.765874,0.298195,0.380493,2.467679,0.754261,0.411086,1.671816,-0.343175,3,0.500000,0.333333,0.045090,0.406926,0.211896,0.775157
-8,-7,8,-7.500000,-6.500000,8.500000,34,planar,0.128235,0.068304,0.002177,0.467349,0.515673,0.016978,0.983022,0.026717,2.584762,0.032234,0.426947,2.552528,0.556588,0.814529,1.536691,0.257942,4,0.666667,0.666667,0.017769,0.194155,0.444784,0.370892
-8,-6,-2,-7.500000,-5.500000,-1.500000,21,linear,0.076989,0.005623,0.000001,0.926958,0.073034,0.000008,0.999992,0.000641,1.749339,167.397699,0.243913,-165.648360,0.411178,8.092126,0.793071,7.680948,1,0.166667,0.000000,0.022384,0.333333,0.035619,0.796885
-8,-6,8,-7.500000,-5.500000,8.500000,49,planar,0.139113,0.097469,0.002145,0.299355,0.685227,0.015417,0.984583,0.030752,2.610335,0.104152,0.454357,2.506183,0.523992,0.717452,1.520223,0.193460,4,0.666667,0.666667,0.013819,0.191045,0.519390,0.362139
-8,-5,8,-7.500000,-4.500000,8.500000,57,planar,0.116720,0.089852,0.001132,0.230189,0.760112,0.009699,0.990301,0.022813,2.467419,0.190040,0.430322,2.277379,0.410766,0.600056,1.292531,0.189290,4,0.666667,0.666667,0.075360,0.281385,0.518217,0.544593
-8,-4,8,-7.500000,-3.500000,8.500000,28,planar,0.133072,0.040693,0.000295,0.694202,0.303582,0.002215,0.997785,0.011687,2.117797,8.230113,0.387813,-6.112316,0.447892,1.281856,1.355217,0.833964,2,0.333333,0.000000,0.111113,0.666667,0.089068,1.283336
-8,2,8,-7.500000,2.500000,8.500000,29,linear,0.088673,0.000321,0.000011,0.996383,0.003490,0.000127,0.999873,0.000685,1.199987,133.288515,0.248998,-132.088528,0.373539,9.768174,0.876277,9.394635,2,0.333333,0.000000,0.232992,0.666667,0.049529,1.447872
-8,3,8,-7.500000,3.500000,8.500000,42,planar,0.089620,0.046539,0.000410,0.480710,0.514719,0.004571,0.995429,0.011955,2.204768,12.089813,0.343824,-9.885045,0.455521,2.101733,1.406621,1.646212,3,0.500000,0.333333,0.060304,0.436508,0.272757,0.828236
-8,4,8,-7.500000,4.500000,8.500000,55,planar,0.101429,0.071498,0.002034,0.295086,0.684860,0.020054,0.979946,0.024525,2.598722,3.238795,0.391619,-0.640073,0.475460,0.748051,1.361884,0.272590,3,0.500000,0.333333,0.084594,0.459259,0.306624,0.886054
-8,6,8,-7.500000,6.500000,8.500000,18,planar,0.096116,0.030861,0.001045,0.678921,0.310202,0.010877,0.989123,0.014582,2.332230,4.131313,0.343416,-1.799083,0.652967,1.301193,1.652967,0.648227,3,0.500000,0.333333,0.018548,0.365079,0.228507,0.693293
-8,7,8,-7.500000,7.500000,8.500000,20,planar,0.175018,0.070590,0.001606,0.596672,0.394153,0.009175,0.990825,0.027071,2.466771,7.098987,0.461471,-4.632216,0.648973,1.254624,1.614669,0.605651,2,0.333333,0.000000,0.009233,0.666667,0.109527,1.145798
-8,9,8,-7.500000,9.500000,8.500000,16,planar,0.165850,0.044315,0.000211,0.732802,0.265923,0.001275,0.998725,0.011583,2.012323,13.212234,0.425314,-11.199911,0.373345,1.841763,1.284778,1.468418,2,0.333333,0.000000,0.004787,0.666667,0.095316,1.139796
-8,10,8,-7.500000,10.500000,8.500000,23,planar,0.107550,0.064756,0.000594,0.397902,0.596579,0.005520,0.994480,0.016050,2.245994,10.787772,0.395179,-8.541778,0.522356,1.723327,1.439909,1.200971,2,0.333333,0.000000,0.016131,0.666667,0.132729,1.155111
-8,11,3,-7.500000,11.500000,3.500000,18,planar,0.073587,0.037971,0.000035,0.483997,0.515524,0.000479,0.999521,0.004618,1.884151,0.508741,0.309360,1.375410,0.194508,0.310690,1.053190,0.116182,1,0.166667,0.000000,0.012234,0.333333,0.062016,0.783183
-8,18,-1,-7.500000,18.500000,-0.500000,31,planar,0.087567,0.052151,0.000039,0.404442,0.595111,0.000447,0.999553,0.005633,1.942799,88.992651,0.353552,-87.049852,0.536616,5.424085,1.536616,4.887469,2,0.333333,0.333333,0.010147,0.026667,0.243063,0.309699
-7,-11,3,-6.500000,-10.500000,3.500000,21,linear,0.063733,0.001503,0.000000,0.976418,0.023578,0.000003,0.999997,0.000268,1.509732,26.820988,0.213111,-25.311255,0.327467,4.323677,1.021075,3.996211,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000
-7,-11,8,-6.500000,-10.500000,8.500000,22,planar,0.093753,0.044603,0.000842,0.524248,0.466766,0.008985,0.991015,0.015216,2.314531,3.134950,0.354710,-0.820419,0.834721,0.921273,1.834721,0.086552,2,0.333333,0.333333,0.053816,0.083333,0.205087,0.430984
-7,-10,6,-6.500000,-9.500000,6.500000,39,linear,0.089280,0.019814,0.000247,0.778070,0.219159,0.002771,0.997229,0.007592,2.084341,4.583237,0.303649,-2.498895,0.591538,1.420810,1.543448,0.829272,2,0.333333,0.333333,0.013088,0.022989,0.161684,0.309623
-7,-8,3,-6.500000,-7.500000,3.500000,24,linear,0.089345,0.009768,0.000411,0.890665,0.104731,0.004604,0.995396,0.007107,2.096380,137.029203,0.276897,-134.932824,0.553518,8.100091,1.406572,7.546572,1,0.166667,0.000000,0.003468,0.333333,0.038043,0.771348
-7,-8,8,-6.500000,-7.500000,8.500000,47,planar,0.100360,0.058209,0.005094,0.419999,0.529240,0.050761,0.949239,0.030990,2.749390,0.402115,0.377019,2.347275,0.562637,0.365468,1.386458,-0.197169,3,0.500000,0.333333,0.019139,0.473896,0.281901,0.813789
-7,-7,8,-6.500000,-6.500000,8.500000,62,planar,0.114595,0.082314,0.001396,0.281698,0.706125,0.012178,0.987822,0.023612,2.520580,0.028906,0.414899,2.491674,0.558317,0.826347,1.537488,0.268030,4,0.666667,0.666667,0.015497,0.169780,0.528165,0.341013
-7,-6,-2,-6.500000,-5.500000,-1.500000,22,linear,0.201758,0.026225,0.000119,0.870019,0.129392,0.000588,0.999412,0.008563,1.970594,96.050599,0.441330,-94.080005,0.353572,5.728911,1.226976,5.375339,3,0.500000,0.333333,0.025741,0.460784,0.179660,0.808279
-7,-6,8,-6.500000,-5.500000,8.500000,68,planar,0.087684,0.044112,0.000114,0.496926,0.501774,0.001300,0.998700,0.007611,2.038438,0.762030,0.343082,1.276408,0.570875,0.356509,1.568064,-0.214366,3,0.500000,0.333333,0.062240,0.536797,0.269298,0.941166
-7,-5,-2,-6.500000,-4.500000,-1.500000,42,linear,0.147168,0.003808,0.000003,0.974124,0.025855,0.000021,0.999979,0.001199,1.745760,106.363912,0.337901,-104.618152,0.390124,6.905447,1.005518,6.515323,3,0.500000,0.333333,0.014750,0.409357,0.153590,0.736872
-7,-5,8,-6.500000,-4.500000,8.500000,15,linear,0.029649,0.000059,0.000001,0.997999,0.001959,0.000042,0.999958,0.000130,0.956322,165.659356,0.142723,-164.703034,0.407541,10.711716,0.651875,10.304176,2,0.333333,0.000000,0.206701,0.666667,0.051086,1.412380
-7,-4,-2,-6.500000,-3.500000,-1.500000,35,linear,0.056869,0.003661,0.000000,0.935627,0.064364,0.000009,0.999991,0.000470,1.718132,146.999430,0.215395,-145.281298,0.366158,7.305365,0.857193,6.939206,2,0.333333,0.000000,0.015104,0.666667,0.070751,1.153724
-7,4,8,-6.500000,4.500000,8.500000,28,linear,0.052930,0.006103,0.000752,0.884703,0.101096,0.014201,0.985799,0.006239,2.188719,28.024062,0.214768,-25.835342,0.479339,3.816986,1.265570,3.337647,1,0.166667,0.000000,0.228462,0.333333,0.029049,1.075090
-7,5,-2,-6.500000,5.500000,-1.500000,37,linear,0.101953,0.002918,0.000001,0.971381,0.028605,0.000014,0.999986,0.000746,1.689503,207.405431,0.284852,-205.715928,0.324822,9.055154,0.925246,8.730332,2,0.333333,0.000000,0.009403,0.666667,0.066939,1.146027
-7,6,-2,-6.500000,6.500000,-1.500000,25,linear,0.143141,0.005801,0.000001,0.959470,0.040523,0.000007,0.999993,0.000947,1.773175,157.440734,0.350659,-155.667559,0.379720,9.064377,1.192885,8.684657,2,0.333333,0.000000,0.009698,0.666667,0.068326,1.146426
-7,6,8,-6.500000,6.500000,8.500000,23,linear,0.121439,0.011635,0.000348,0.904187,0.092945,0.002868,0.997132,0.007895,2.076594,15.860104,0.339925,-13.783510,0.428372,2.866516,1.411703,2.438144,2,0.333333,0.333333,0.056393,0.009524,0.128774,0.353273
-7,8,8,-6.500000,8.500000,8.500000,21,linear,0.095687,0.001471,0.000002,0.984629,0.015352,0.000019,0.999981,0.000640,1.511231,7.497911,0.270828,-5.986681,0.384673,1.427584,0.962368,1.042910,2,0.333333,0.000000,0.196162,0.666667,0.053049,1.398151
-7,9,8,-6.500000,9.500000,8.500000,26,planar,0.095174,0.064162,0.001501,0.325846,0.658386,0.015768,0.984232,0.020927,2.475357,5.958354,0.377654,-3.482997,0.489333,1.115891,1.453975,0.626558,4,0.666667,0.666667,0.064377,0.158025,0.481803,0.394070
-7,10,8,-6.500000,10.500000,8.500000,24,planar,0.123882,0.070764,0.000836,0.428781,0.564472,0.006747,0.993253,0.019423,2.331949,12.818599,0.418271,-10.486650,0.703814,2.253117,1.691649,1.549303,3,0.500000,0.333333,0.050249,0.383333,0.288422,0.756169
-7,11,3,-6.500000,11.500000,3.500000,24,linear,0.099646,0.013877,0.000431,0.860733,0.134945,0.004322,0.995678,0.008413,2.131210,0.240694,0.286180,1.890515,0.531829,0.643607,1.270034,0.111778,2,0.333333,0.333333,0.025356,0.098039,0.141714,0.408741
-7,12,6,-6.500000,12.500000,6.500000,20,linear,0.085350,0.010043,0.000062,0.882333,0.116940,0.000727,0.999273,0.003761,1.858500,127.710206,0.261615,-125.851706,0.688797,12.022891,1.379300,11.334094,1,0.166667,0.000000,0.001626,0.333333,0.038964,0.768862
-7,18,-1,-6.500000,18.500000,-0.500000,23,planar,0.071603,0.050570,0.001081,0.293740,0.691166,0.015093,0.984907,0.015758,2.378136,29.517388,0.328361,-27.139252,0.771744,4.038335,1.771744,3.266591,2,0.333333,0.333333,0.045086,0.064103,0.252726,0.398045
-6,-13,3,-5.500000,-12.500000,3.500000,19,linear,0.070592,0.013608,0.000196,0.807237,0.189989,0.002774,0.997226,0.005730,1.971806,45.091508,0.256129,-43.119702,0.379274,4.332968,1.176307,3.953694,1,0.166667,0.000000,0.127999,0.333333,0.037770,0.939466
-6,-11,8,-5.500000,-10.500000,8.500000,25,planar,0.099345,0.044686,0.000590,0.550195,0.443862,0.005942,0.994058,0.013787,2.245780,3.582434,0.359787,-1.336654,0.551760,0.833890,1.532474,0.282129,2,0.333333,0.333333,0.040124,0.021277,0.203632,0.344238
-6,-10,6,-5.500000,-9.500000,6.500000,31,linear,0.091278,0.015287,0.000023,0.832523,0.167226,0.000251,0.999749,0.003176,1.887288,14.921038,0.305506,-13.033750,0.200931,2.467382,1.109424,2.266451,2,0.333333,0.333333,0.016625,0.027778,0.150328,0.319666
-6,-8,3,-5.500000,-7.500000,3.500000,30,linear,0.104412,0.016722,0.001269,0.839849,0.147993,0.012158,0.987842,0.013038,2.410332,86.988202,0.315618,-84.577870,0.645592,7.291712,1.603811,6.646120,2,0.333333,0.333333,0.195542,0.090909,0.118507,0.630648
-6,-8,7,-5.500000,-7.500000,7.500000,17,linear,0.140022,0.022678,0.000601,0.838039,0.157669,0.004292,0.995708,0.012404,2.189235,77.933860,0.366844,-75.744625,0.403413,6.349234,1.380669,5.945821,1,0.166667,0.000000,0.731138,0.333333,0.011115,1.753703
-6,-8,8,-5.500000,-7.500000,8.500000,59,planar,0.108686,0.065475,0.005592,0.397583,0.550969,0.051448,0.948552,0.034140,2.776267,0.577757,0.381681,2.198510,0.426179,0.538906,1.194948,0.112727,4,0.666667,0.333333,0.200943,0.715152,0.284915,1.324606
-6,-7,-2,-5.500000,-6.500000,-1.500000,29,linear,0.106157,0.005438,0.000001,0.948774,0.051214,0.000013,0.999987,0.000921,1.773360,63.920736,0.288538,-62.147376,0.415590,5.654797,1.136361,5.239208,2,0.333333,0.000000,0.011197,0.666667,0.069482,1.148449
-6,-7,8,-5.500000,-6.500000,8.500000,67,planar,0.090581,0.040135,0.000244,0.556915,0.440394,0.002690,0.997310,0.009604,2.128469,0.148280,0.339285,1.980189,0.569357,0.639681,1.565118,0.070323,3,0.500000,0.333333,0.097790,0.516667,0.243605,0.967016
-6,-6,-2,-5.500000,-5.500000,-1.500000,47,linear,0.127307,0.002424,0.000003,0.980956,0.019021,0.000023,0.999977,0.000973,1.666931,82.354640,0.306712,-80.687709,0.433739,5.165094,0.980668,4.731355,4,0.666667,0.666667,0.019024,0.232018,0.236975,0.414235
-6,-5,-2,-5.500000,-4.500000,-1.500000,51,linear,0.100882,0.013876,0.000094,0.862450,0.136620,0.000930,0.999070,0.005083,1.969346,80.448151,0.289630,-78.478805,0.653160,6.092990,1.269937,5.439830,4,0.666667,0.666667,0.010289,0.124183,0.289311,0.283824
-6,-4,-2,-5.500000,-3.500000,-1.500000,55,planar,0.088715,0.049497,0.000110,0.442072,0.556690,0.001238,0.998762,0.007843,2.030432,88.577025,0.336872,-86.546592,0.381865,5.689597,1.089613,5.307732,3,0.500000,0.333333,0.009896,0.507937,0.299359,0.838757
-6,4,-2,-5.500000,4.500000,-1.500000,61,planar,0.123513,0.067893,0.000149,0.450315,0.548475,0.001210,0.998790,0.010781,2.072909,119.206611,0.422300,-117.133701,0.297157,6.438566,1.232622,6.141409,2,0.333333,0.000000,0.000159,0.666667,0.129428,1.133548
-6,5,-2,-5.500000,5.500000,-1.500000,34,linear,0.223676,0.024510,0.000067,0.890422,0.109277,0.000301,0.999699,0.007177,1.960128,130.546048,0.474753,-128.585920,0.315023,6.621976,1.240563,6.306954,4,0.666667,0.666667,0.004789,0.236825,0.279272,0.400306
-6,6,-2,-5.500000,6.500000,-1.500000,20,planar,0.062186,0.025705,0.000095,0.586640,0.411831,0.001529,0.998471,0.005337,1.931897,129.395253,0.213664,-127.463355,0.606091,8.518993,1.319710,7.912902,4,0.666667,0.666667,0.016729,0.211787,0.404553,0.388884
-6,6,8,-5.500000,6.500000,8.500000,17,planar,0.110093,0.030778,0.004378,0.720438,0.239793,0.039769,0.960231,0.024572,2.610443,1.508229,0.351453,1.102214,0.668034,0.030306,1.626651,-0.637728,2,0.333333,0.000000,0.046408,0.666667,0.086005,1.195984
-6,7,-2,-5.500000,7.500000,-1.500000,16,linear,0.090490,0.002787,0.000001,0.969204,0.030786,0.000011,0.999989,0.000625,1.618086,169.899726,0.254912,-168.281639,0.250073,9.327770,1.076859,9.077698,2,0.333333,0.000000,0.011045,0.666667,0.067085,1.148245
-6,7,8,-5.500000,7.500000,8.500000,35,planar,0.105990,0.064298,0.002959,0.393362,0.578717,0.027921,0.972079,0.027220,2.644979,2.653472,0.374477,-0.008493,0.503750,0.256085,1.167258,-0.247665,3,0.500000,0.333333,0.009767,0.403101,0.301494,0.723263
